Date,Time,CO mg/m3,8 hr roling avg
8/1/2011,15,0,0
8/1/2011,16,0,0
8/1/2011,17,0,0
8/1/2011,18,0,0
8/1/2011,19,0,0
8/1/2011,20,0,0
8/1/2011,21,0,0
8/1/2011,22,0.1,0
8/1/2011,23,0,0
9/1/2011,0,0,0
9/1/2011,1,0,0
9/1/2011,2,0,0
9/1/2011,3,0,0
9/1/2011,4,0,0
9/1/2011,5,0,0
9/1/2011,6,0,0
9/1/2011,7,0,0
9/1/2011,8,0,0
9/1/2011,9,0,0
9/1/2011,10,0,0
9/1/2011,11,0,0
9/1/2011,12,0,0
9/1/2011,13,0,0
9/1/2011,14,0.1,0
9/1/2011,15,0.1,0
9/1/2011,16,0.1,0
9/1/2011,17,0.1,0.1
9/1/2011,18,0.1,0.1
9/1/2011,19,0.2,0.1
9/1/2011,20,0.1,0.1
9/1/2011,21,0.2,0.1
9/1/2011,22,0.2,0.1
9/1/2011,23,0.2,0.2
10/1/2011,0,0.1,0.1
10/1/2011,1,0,0.1
10/1/2011,2,0,0.1
10/1/2011,3,0,0.1
10/1/2011,4,0,0.1
10/1/2011,5,0,0.1
10/1/2011,6,0,0
10/1/2011,7,0.1,0
10/1/2011,8,0,0
10/1/2011,9,0.1,0
10/1/2011,10,0.1,0
10/1/2011,11,0.3,0.1
10/1/2011,12,0.1,0.1
10/1/2011,13,0.1,0.1
10/1/2011,14,0.1,0.1
10/1/2011,15,0.2,0.1
10/1/2011,16,0.1,0.1
10/1/2011,17,0.3,0.2
10/1/2011,18,0.2,0.2
10/1/2011,19,0.1,0.1
10/1/2011,20,0.1,0.1
10/1/2011,21,0.1,0.1
10/1/2011,22,0.1,0.1
10/1/2011,23,0.1,0.1
11/1/2011,0,0,0.1
11/1/2011,1,0,0.1
11/1/2011,2,0,0.1
11/1/2011,3,0,0.1
11/1/2011,4,0,0
11/1/2011,5,0,0
11/1/2011,6,0,0
11/1/2011,7,0,0
11/1/2011,8,0,0
11/1/2011,9,0.1,0
11/1/2011,10,0.1,0
11/1/2011,11,0.1,0
11/1/2011,12,0.1,0.1
11/1/2011,13,0.1,0.1
11/1/2011,14,0.1,0.1
11/1/2011,15,0.1,0.1
11/1/2011,16,0.1,0.1
11/1/2011,17,0.3,0.1
11/1/2011,18,0.2,0.1
11/1/2011,19,0.2,0.2
11/1/2011,20,0.2,0.2
11/1/2011,21,0.1,0.2
11/1/2011,22,0,0.2
11/1/2011,23,0,0.2
12/1/2011,0,0,0.1
12/1/2011,1,0,0.1
12/1/2011,2,0,0.1
12/1/2011,3,0,0.1
12/1/2011,4,0,0
12/1/2011,5,0,0
12/1/2011,6,0,0
12/1/2011,7,0,0
12/1/2011,8,0.1,0
12/1/2011,9,0.1,0
12/1/2011,10,0.1,0
12/1/2011,11,0.1,0.1
12/1/2011,12,0.1,0.1
12/1/2011,13,0.1,0.1
12/1/2011,14,0.1,0.1
12/1/2011,15,0.1,0.1
12/1/2011,16,0.1,0.1
12/1/2011,17,0.2,0.1
12/1/2011,18,0.2,0.1
12/1/2011,19,0.3,0.2
12/1/2011,20,0.2,0.2
12/1/2011,21,0.1,0.2
12/1/2011,22,0.1,0.2
12/1/2011,23,0.1,0.2
13/01/2011,0,0.1,0.2
13/01/2011,1,0.1,0.1
13/01/2011,2,0,0.1
13/01/2011,3,0,0.1
13/01/2011,4,0,0.1
13/01/2011,5,0,0.1
13/01/2011,6,0,0.1
13/01/2011,7,0,0.1
13/01/2011,8,0.1,0.1
13/01/2011,9,0.1,0.1
13/01/2011,10,0.1,0.1
13/01/2011,11,0.1,0.1
13/01/2011,12,0.1,0.1
13/01/2011,13,0.1,0.1
13/01/2011,14,0.1,0.1
13/01/2011,15,0.1,0.1
13/01/2011,16,0.1,0.1
13/01/2011,17,0.2,0.1
13/01/2011,18,0.2,0.1
13/01/2011,19,0.3,0.2
13/01/2011,20,0.2,0.2
13/01/2011,21,0.2,0.2
13/01/2011,22,0.3,0.2
13/01/2011,23,0.1,0.2
14/01/2011,0,0.1,0.2
14/01/2011,1,0.1,0.2
14/01/2011,2,0.1,0.2
14/01/2011,3,0,0.1
14/01/2011,4,0,0.1
14/01/2011,5,0.1,0.1
14/01/2011,6,0.1,0.1
14/01/2011,7,0.1,0.1
14/01/2011,8,0.1,0.1
14/01/2011,9,0,0.1
14/01/2011,10,0,0
14/01/2011,11,0,0
14/01/2011,12,0,0
14/01/2011,13,0,0
14/01/2011,14,0,0
14/01/2011,15,0,0
14/01/2011,16,0.1,0
14/01/2011,17,0.1,0
14/01/2011,18,0.1,0
14/01/2011,19,0.1,0.1
14/01/2011,20,0.1,0.1
14/01/2011,21,0.1,0.1
14/01/2011,22,0.1,0.1
14/01/2011,23,0,0.1
15/01/2011,0,0,0.1
15/01/2011,1,0,0.1
15/01/2011,2,0.1,0.1
15/01/2011,3,0.1,0
15/01/2011,4,0.1,0
15/01/2011,5,0,0
15/01/2011,6,0,0
15/01/2011,7,0,0
15/01/2011,8,0,0
15/01/2011,9,0,0.1
15/01/2011,10,0,0
15/01/2011,11,0,0
15/01/2011,12,0.1,0
15/01/2011,13,0.1,0
15/01/2011,14,0.1,0.1
15/01/2011,15,0.1,0.1
15/01/2011,16,0.1,0.1
15/01/2011,17,0.1,0.1
15/01/2011,18,0.1,0.1
15/01/2011,19,0.1,0.1
15/01/2011,20,0.1,0.1
15/01/2011,21,0.1,0.1
15/01/2011,22,0.1,0.1
15/01/2011,23,0.1,0.1
16/01/2011,0,0.1,0.1
16/01/2011,1,0.1,0.1
16/01/2011,2,0,0.1
16/01/2011,3,0,0.1
16/01/2011,4,0,0.1
16/01/2011,5,0,0.1
16/01/2011,6,0,0.1
16/01/2011,7,0,0
16/01/2011,8,0.1,0
16/01/2011,9,0.1,0.1
16/01/2011,10,0.1,0.1
16/01/2011,11,0.1,0.1
16/01/2011,12,0.1,0.1
16/01/2011,13,0,0.1
16/01/2011,14,0,0.1
16/01/2011,15,0,0.1
16/01/2011,16,0,0.1
16/01/2011,17,0,0.1
16/01/2011,18,0.1,0
16/01/2011,19,0.1,0
16/01/2011,20,0,0
