Please provide hourly results  in mg/m3 of CO monitoring conducted in Dublin City by completing the table below. ,,,,,,,,,
The 8 hour rolling averages will calculate automatically. ,,,,,,,,,
Please provide a flag number (see comment for list) for the data entered if possible. The comment field is optional.,,,,,,,,,
Please indicate if any of the stations listed below have been removed from the network.,,,,,,,,,
Dublin City Council,,,,,,,,,
Site,,           Wood Quay (Winetavern St.),,,,         Coleraine Street,,,
Date,Time,CO mg/m3,8 hr roling avg,Flag,Comment,CO mg/m3,8 hr roling avg,Flag,Comment
31/12/2012,17.00,,#DIV/0!,,,,#DIV/0!,,
31/12/2011,18.00,,#DIV/0!,,,,#DIV/0!,,
31/12/2011,19.00,,#DIV/0!,,,,#DIV/0!,,
31/12/2011,20.00,,#DIV/0!,,,,#DIV/0!,,
31/12/2011,21.00,,#DIV/0!,,,,#DIV/0!,,
31/12/2011,22.00,,#DIV/0!,,,,#DIV/0!,,
31/12/2011,23.00,,#DIV/0!,,,,#DIV/0!,,
01/01/2012,0.00,,0.1,,,,#DIV/0!,,
01/01/2012,1.00,0.1,0.1,2,,0.9,0.9,2,
01/01/2012,2.00,0.1,0.1,2,,0.8,0.8,2,
01/01/2012,3.00,0.1,0.1,2,,0.6,0.8,2,
01/01/2012,4.00,0.0,0.1,2,,0.7,0.7,2,
01/01/2012,5.00,0.0,0.1,2,,0.6,0.7,2,
01/01/2012,6.00,0.0,0.1,2,,0.5,0.7,2,
01/01/2012,7.00,0.0,0.1,2,,0.7,0.7,2,
01/01/2012,8.00,0.0,0.0,2,,0.8,0.7,2,
01/01/2012,9.00,0.0,0.0,2,,0.7,0.7,2,
01/01/2012,10.00,0.0,0.0,2,,0.6,0.7,2,
01/01/2012,11.00,0.0,0.0,2,,0.5,0.7,2,
01/01/2012,12.00,0.0,0.0,2,,0.5,0.6,2,
01/01/2012,13.00,0.0,0.0,2,,0.5,0.6,2,
01/01/2012,14.00,0.1,0.0,2,,0.5,0.6,2,
01/01/2012,15.00,0.0,0.0,2,,0.5,0.6,2,
01/01/2012,16.00,0.1,0.0,2,,0.5,0.5,2,
01/01/2012,17.00,0.0,0.0,2,,0.5,0.5,2,
01/01/2012,18.00,0.1,0.1,2,,0.5,0.5,2,
01/01/2012,19.00,0.1,0.1,2,,0.5,0.5,2,
01/01/2012,20.00,0.1,0.1,2,,0.5,0.5,2,
01/01/2012,21.00,0.1,0.1,2,,0.5,0.5,2,
01/01/2012,22.00,0.1,0.1,2,,0.5,0.5,2,
01/01/2012,23.00,0.0,0.1,2,,0.5,0.5,2,
02/01/2012,0.00,0.0,0.1,2,,0.5,0.5,2,
02/01/2012,1.00,0.0,0.1,2,,0.4,0.5,2,
02/01/2012,2.00,0.0,0.1,2,,0.4,0.5,2,
02/01/2012,3.00,0.0,0.0,2,,0.3,0.5,2,
02/01/2012,4.00,0.0,0.0,2,,0.3,0.4,2,
02/01/2012,5.00,0.0,0.0,2,,0.3,0.4,2,
02/01/2012,6.00,0.0,0.0,2,,0.3,0.4,2,
02/01/2012,7.00,0.0,0.0,2,,0.3,0.3,2,
02/01/2012,8.00,0.0,0.0,2,,0.4,0.3,2,
02/01/2012,9.00,0.0,0.0,2,,0.3,0.3,2,
02/01/2012,10.00,0.0,0.0,2,,0.4,0.3,2,
02/01/2012,11.00,0.0,0.0,2,,0.4,0.3,2,
02/01/2012,12.00,0.0,0.0,2,,0.4,0.3,2,
02/01/2012,13.00,0.0,0.0,2,,0.4,0.4,2,
02/01/2012,14.00,0.0,0.0,2,,0.4,0.4,2,
02/01/2012,15.00,0.0,0.0,2,,0.4,0.4,2,
02/01/2012,16.00,0.0,0.0,2,,0.5,0.4,2,
02/01/2012,17.00,0.1,0.0,2,,0.5,0.4,2,
02/01/2012,18.00,0.1,0.1,2,,0.5,0.4,2,
02/01/2012,19.00,0.1,0.1,2,,0.5,0.4,2,
02/01/2012,20.00,0.1,0.1,2,,0.5,0.5,2,
02/01/2012,21.00,0.1,0.1,2,,0.5,0.5,2,
02/01/2012,22.00,0.1,0.1,2,,0.6,0.5,2,
02/01/2012,23.00,0.1,0.1,2,,0.6,0.5,2,
03/01/2012,0.00,0.1,0.1,2,,0.5,0.5,2,
03/01/2012,1.00,0.0,0.1,2,,0.4,0.5,2,
03/01/2012,2.00,0.0,0.1,2,,0.4,0.5,2,
03/01/2012,3.00,0.0,0.1,2,,0.4,0.5,2,
03/01/2012,4.00,0.0,0.1,2,,0.4,0.4,2,
03/01/2012,5.00,0.0,0.1,2,,0.3,0.4,2,
03/01/2012,6.00,0.0,0.1,2,,0.4,0.4,2,
03/01/2012,7.00,0.0,0.0,2,,0.4,0.4,2,
03/01/2012,8.00,0.0,0.0,2,,0.4,0.4,2,
03/01/2012,9.00,0.1,0.0,2,,0.4,0.4,2,
03/01/2012,10.00,0.0,0.0,2,,0.4,0.4,2,
03/01/2012,11.00,0.0,0.0,2,,0.3,0.4,2,
03/01/2012,12.00,0.0,0.0,2,,0.4,0.4,2,
03/01/2012,13.00,0.0,0.0,2,,No data,0.4,7,
03/01/2012,14.00,0.0,0.0,2,,No data,0.4,3,
03/01/2012,15.00,0.0,0.0,2,,0.3,0.4,2,
03/01/2012,16.00,0.1,0.1,2,,0.4,0.4,2,
03/01/2012,17.00,0.1,0.1,2,,0.3,0.4,2,
03/01/2012,18.00,0.1,0.1,2,,0.3,0.3,2,
03/01/2012,19.00,0.1,0.1,2,,0.3,0.3,2,
03/01/2012,20.00,0.0,0.1,2,,0.3,0.3,2,
03/01/2012,21.00,0.0,0.1,2,,0.2,0.3,2,
03/01/2012,22.00,0.0,0.1,2,,0.2,0.3,2,
03/01/2012,23.00,0.0,0.1,2,,0.2,0.3,2,
04/01/2012,0.00,0.0,0.1,2,,0.2,0.3,2,
04/01/2012,1.00,0.0,0.0,2,,0.2,0.2,2,
04/01/2012,2.00,0.0,0.0,2,,0.2,0.2,2,
04/01/2012,3.00,0.0,0.0,2,,0.2,0.2,2,
04/01/2012,4.00,0.0,0.0,2,,0.2,0.2,2,
04/01/2012,5.00,0.0,0.0,2,,0.2,0.2,2,
04/01/2012,6.00,0.0,0.0,2,,0.2,0.2,2,
04/01/2012,7.00,0.0,0.0,2,,0.3,0.2,2,
04/01/2012,8.00,0.0,0.0,2,,0.4,0.2,2,
04/01/2012,9.00,0.1,0.0,2,,0.4,0.3,2,
04/01/2012,10.00,0.1,0.0,2,,0.4,0.3,2,
04/01/2012,11.00,0.0,0.0,2,,0.4,0.3,2,
04/01/2012,12.00,CAL,0.0,0,,0.4,0.3,2,
04/01/2012,13.00,Below detection limit,0.0,3,,0.4,0.4,2,
04/01/2012,14.00,Below detection limit,0.0,3,,0.3,0.4,2,
04/01/2012,15.00,Below detection limit,0.1,3,,0.4,0.4,2,
04/01/2012,16.00,Below detection limit,0.1,3,,0.3,0.4,2,
04/01/2012,17.00,Below detection limit,0.1,3,,0.4,0.4,2,
04/01/2012,18.00,Below detection limit,0.0,3,,0.4,0.4,2,
04/01/2012,19.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
04/01/2012,20.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
04/01/2012,21.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
04/01/2012,22.00,Below detection limit,#DIV/0!,3,,0.3,0.4,2,
04/01/2012,23.00,Below detection limit,#DIV/0!,3,,0.3,0.4,2,
05/01/2012,0.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
05/01/2012,1.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
05/01/2012,2.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
05/01/2012,3.00,Below detection limit,#DIV/0!,3,,0.1,0.3,2,
05/01/2012,4.00,Below detection limit,#DIV/0!,3,,0.1,0.2,2,
05/01/2012,5.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
05/01/2012,6.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
05/01/2012,7.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
05/01/2012,8.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
05/01/2012,9.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
05/01/2012,10.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
05/01/2012,11.00,Below detection limit,#DIV/0!,3,,cal,0.2,0,
05/01/2012,12.00,Below detection limit,#DIV/0!,3,,cal,0.2,0,
05/01/2012,13.00,Below detection limit,#DIV/0!,3,,0.1,0.2,2,
05/01/2012,14.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
05/01/2012,15.00,Below detection limit,#DIV/0!,3,,0.1,0.2,2,
05/01/2012,16.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
05/01/2012,17.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
05/01/2012,18.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
05/01/2012,19.00,Below detection limit,#DIV/0!,3,,0.3,0.2,2,
05/01/2012,20.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
05/01/2012,21.00,Below detection limit,#DIV/0!,3,,0.3,0.2,2,
05/01/2012,22.00,Below detection limit,#DIV/0!,3,,0.3,0.2,2,
05/01/2012,23.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
06/01/2012,0.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
06/01/2012,1.00,Below detection limit,#DIV/0!,3,,0.1,0.2,2,
06/01/2012,2.00,Below detection limit,#DIV/0!,3,,0.1,0.2,2,
06/01/2012,3.00,Below detection limit,#DIV/0!,3,,0.1,0.2,2,
06/01/2012,4.00,Below detection limit,#DIV/0!,3,,0.1,0.2,2,
06/01/2012,5.00,Below detection limit,#DIV/0!,3,,0.1,0.2,2,
06/01/2012,6.00,Below detection limit,#DIV/0!,3,,0.2,0.1,2,
06/01/2012,7.00,Below detection limit,#DIV/0!,3,,0.2,0.1,2,
06/01/2012,8.00,Below detection limit,#DIV/0!,3,,0.3,0.2,2,
06/01/2012,9.00,Below detection limit,#DIV/0!,3,,0.4,0.2,2,
06/01/2012,10.00,Below detection limit,#DIV/0!,3,,0.4,0.2,2,
06/01/2012,11.00,Below detection limit,#DIV/0!,3,,0.3,0.2,2,
06/01/2012,12.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
06/01/2012,13.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
06/01/2012,14.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
06/01/2012,15.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
06/01/2012,16.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
06/01/2012,17.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
06/01/2012,18.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
06/01/2012,19.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
06/01/2012,20.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
06/01/2012,21.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
06/01/2012,22.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
06/01/2012,23.00,Below detection limit,#DIV/0!,3,,0.1,0.3,2,
07/01/2012,0.00,Below detection limit,#DIV/0!,3,,0.1,0.3,2,
07/01/2012,1.00,Below detection limit,#DIV/0!,3,,0.0,0.2,2,
07/01/2012,2.00,Below detection limit,#DIV/0!,3,,0.1,0.2,2,
07/01/2012,3.00,Below detection limit,#DIV/0!,3,,0.1,0.2,2,
07/01/2012,4.00,Below detection limit,#DIV/0!,3,,0.1,0.1,2,
07/01/2012,5.00,Below detection limit,#DIV/0!,3,,0.1,0.1,2,
07/01/2012,6.00,Below detection limit,#DIV/0!,3,,0.1,0.1,2,
07/01/2012,7.00,Below detection limit,#DIV/0!,3,,0.1,0.1,2,
07/01/2012,8.00,Below detection limit,#DIV/0!,3,,0.2,0.1,2,
07/01/2012,9.00,Below detection limit,#DIV/0!,3,,0.2,0.1,2,
07/01/2012,10.00,No data,#DIV/0!,7,,0.2,0.1,2,
07/01/2012,11.00,No data,#DIV/0!,7,,0.1,0.1,2,
07/01/2012,12.00,No data,#DIV/0!,7,,0.2,0.1,2,
07/01/2012,13.00,Below detection limit,#DIV/0!,3,,0.2,0.1,2,
07/01/2012,14.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
07/01/2012,15.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
07/01/2012,16.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
07/01/2012,17.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
07/01/2012,18.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
07/01/2012,19.00,Below detection limit,#DIV/0!,3,,0.3,0.2,2,
07/01/2012,20.00,Below detection limit,#DIV/0!,3,,0.3,0.2,2,
07/01/2012,21.00,Below detection limit,#DIV/0!,3,,0.3,0.2,2,
07/01/2012,22.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
07/01/2012,23.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
08/01/2012,0.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
08/01/2012,1.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
08/01/2012,2.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
08/01/2012,3.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
08/01/2012,4.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
08/01/2012,5.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
08/01/2012,6.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
08/01/2012,7.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
08/01/2012,8.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
08/01/2012,9.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
08/01/2012,10.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
08/01/2012,11.00,Below detection limit,#DIV/0!,3,,0.3,0.2,2,
08/01/2012,12.00,Below detection limit,#DIV/0!,3,,0.3,0.2,2,
08/01/2012,13.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
08/01/2012,14.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
08/01/2012,15.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
08/01/2012,16.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
08/01/2012,17.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
08/01/2012,18.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
08/01/2012,19.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
08/01/2012,20.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
08/01/2012,21.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
08/01/2012,22.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
08/01/2012,23.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
09/01/2012,0.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
09/01/2012,1.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
09/01/2012,2.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
09/01/2012,3.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
09/01/2012,4.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
09/01/2012,5.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
09/01/2012,6.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
09/01/2012,7.00,Below detection limit,#DIV/0!,3,,0.3,0.2,2,
09/01/2012,8.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
09/01/2012,9.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
09/01/2012,10.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
09/01/2012,11.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
09/01/2012,12.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
09/01/2012,13.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
09/01/2012,14.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
09/01/2012,15.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
09/01/2012,16.00,Below detection limit,#DIV/0!,3,,0.6,0.4,2,
09/01/2012,17.00,Below detection limit,#DIV/0!,3,,0.7,0.4,2,
09/01/2012,18.00,-0.1,-0.1,2,,0.6,0.5,2,
09/01/2012,19.00,Below detection limit,-0.1,3,,0.4,0.5,2,
09/01/2012,20.00,Below detection limit,-0.1,3,,0.5,0.5,2,
09/01/2012,21.00,Below detection limit,-0.1,3,,0.4,0.5,2,
09/01/2012,22.00,Below detection limit,-0.1,3,,0.4,0.5,2,
09/01/2012,23.00,Below detection limit,-0.1,3,,0.3,0.5,2,
10/01/2012,0.00,Below detection limit,-0.1,3,,0.2,0.4,2,
10/01/2012,1.00,Below detection limit,-0.1,3,,0.2,0.4,2,
10/01/2012,2.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
10/01/2012,3.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
10/01/2012,4.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
10/01/2012,5.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
10/01/2012,6.00,Below detection limit,#DIV/0!,3,,0.2,0.2,2,
10/01/2012,7.00,Below detection limit,#DIV/0!,3,,0.5,0.3,2,
10/01/2012,8.00,Below detection limit,#DIV/0!,3,,0.5,0.3,2,
10/01/2012,9.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
10/01/2012,10.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
10/01/2012,11.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
10/01/2012,12.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
10/01/2012,13.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
10/01/2012,14.00,Below detection limit,#DIV/0!,3,,0.5,0.4,2,
10/01/2012,15.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
10/01/2012,16.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
10/01/2012,17.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
10/01/2012,18.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
10/01/2012,19.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
10/01/2012,20.00,Below detection limit,#DIV/0!,3,,0.3,0.4,2,
10/01/2012,21.00,Below detection limit,#DIV/0!,3,,0.3,0.4,2,
10/01/2012,22.00,Below detection limit,#DIV/0!,3,,0.3,0.4,2,
10/01/2012,23.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
11/01/2012,0.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
11/01/2012,1.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
11/01/2012,2.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
11/01/2012,3.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
11/01/2012,4.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
11/01/2012,5.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
11/01/2012,6.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
11/01/2012,7.00,Below detection limit,#DIV/0!,3,,0.5,0.3,2,
11/01/2012,8.00,Below detection limit,#DIV/0!,3,,0.6,0.3,2,
11/01/2012,9.00,Below detection limit,#DIV/0!,3,,0.6,0.4,2,
11/01/2012,10.00,Below detection limit,#DIV/0!,3,,0.6,0.4,2,
11/01/2012,11.00,Below detection limit,#DIV/0!,3,,0.6,0.5,2,
11/01/2012,12.00,Below detection limit,#DIV/0!,3,,0.6,0.5,2,
11/01/2012,13.00,Below detection limit,#DIV/0!,3,,0.8,0.6,2,
11/01/2012,14.00,Below detection limit,#DIV/0!,3,,0.8,0.6,2,
11/01/2012,15.00,Below detection limit,#DIV/0!,3,,0.8,0.7,2,
11/01/2012,16.00,Below detection limit,#DIV/0!,3,,0.7,0.7,2,
11/01/2012,17.00,Below detection limit,#DIV/0!,3,,0.6,0.7,2,
11/01/2012,18.00,Below detection limit,#DIV/0!,3,,0.5,0.7,2,
11/01/2012,19.00,Below detection limit,#DIV/0!,3,,0.4,0.6,2,
11/01/2012,20.00,Below detection limit,#DIV/0!,3,,0.4,0.6,2,
11/01/2012,21.00,Below detection limit,#DIV/0!,3,,0.4,0.6,2,
11/01/2012,22.00,Below detection limit,#DIV/0!,3,,0.3,0.5,2,
11/01/2012,23.00,Below detection limit,#DIV/0!,3,,0.3,0.5,2,
12/01/2012,0.00,Below detection limit,#DIV/0!,3,,0.3,0.4,2,
12/01/2012,1.00,Below detection limit,#DIV/0!,3,,0.3,0.4,2,
12/01/2012,2.00,Below detection limit,#DIV/0!,3,,0.3,0.4,2,
12/01/2012,3.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
12/01/2012,4.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
12/01/2012,5.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
12/01/2012,6.00,Below detection limit,#DIV/0!,3,,0.2,0.3,2,
12/01/2012,7.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
12/01/2012,8.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
12/01/2012,9.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
12/01/2012,10.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
12/01/2012,11.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
12/01/2012,12.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
12/01/2012,13.00,Below detection limit,#DIV/0!,3,,0.3,0.3,2,
12/01/2012,14.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
12/01/2012,15.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
12/01/2012,16.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
12/01/2012,17.00,Below detection limit,#DIV/0!,3,,0.6,0.4,2,
12/01/2012,18.00,-0.2,-0.2,2,,0.9,0.5,2,
12/01/2012,19.00,Below detection limit,-0.2,3,,0.9,0.5,2,
12/01/2012,20.00,Below detection limit,-0.2,3,,0.9,0.6,2,
12/01/2012,21.00,Below detection limit,-0.2,3,,0.8,0.6,2,
12/01/2012,22.00,Below detection limit,-0.2,3,,0.7,0.7,2,
12/01/2012,23.00,Below detection limit,-0.2,3,,0.7,0.7,2,
13/01/2012,0.00,Below detection limit,-0.2,3,,0.5,0.7,2,
13/01/2012,1.00,Below detection limit,-0.2,3,,0.6,0.7,2,
13/01/2012,2.00,Below detection limit,#DIV/0!,3,,0.4,0.7,2,
13/01/2012,3.00,Below detection limit,#DIV/0!,3,,0.4,0.6,2,
13/01/2012,4.00,Below detection limit,#DIV/0!,3,,0.4,0.6,2,
13/01/2012,5.00,Below detection limit,#DIV/0!,3,,0.4,0.5,2,
13/01/2012,6.00,Below detection limit,#DIV/0!,3,,0.5,0.5,2,
13/01/2012,7.00,Below detection limit,#DIV/0!,3,,0.7,0.5,2,
13/01/2012,8.00,-0.2,-0.2,2,,0.8,0.5,2,
13/01/2012,9.00,-0.2,-0.2,2,,0.8,0.5,2,
13/01/2012,10.00,0.0,-0.1,2,,0.7,0.6,2,
13/01/2012,11.00,0.0,-0.1,2,,0.6,0.6,2,
13/01/2012,12.00,-0.1,-0.1,2,,0.7,0.7,2,
13/01/2012,13.00,-0.1,-0.1,2,,0.9,0.7,2,
13/01/2012,14.00,Below detection limit,-0.1,3,,0.5,0.7,2,
13/01/2012,15.00,Below detection limit,-0.1,3,,0.5,0.7,2,
13/01/2012,16.00,Below detection limit,-0.1,3,,0.7,0.7,2,
13/01/2012,17.00,Below detection limit,-0.1,3,,0.8,0.7,2,
13/01/2012,18.00,0.0,-0.1,2,,1.1,0.7,2,
13/01/2012,19.00,0.1,-0.1,2,,2.5,1.0,2,
13/01/2012,20.00,0.4,0.1,2,,3.3,1.3,2,
13/01/2012,21.00,0.6,0.2,2,,3.5,1.6,2,
13/01/2012,22.00,0.9,0.4,2,,3.8,2.0,2,
13/01/2012,23.00,0.7,0.4,2,,3.5,2.4,2,
14/01/2012,0.00,0.5,0.4,2,,3.7,2.8,2,
14/01/2012,1.00,0.7,0.5,2,,3.7,3.1,2,
14/01/2012,2.00,0.5,0.5,2,,3.6,3.4,2,
14/01/2012,3.00,0.5,0.6,2,,2.8,3.5,2,
14/01/2012,4.00,0.5,0.6,2,,2.6,3.4,2,
14/01/2012,5.00,0.5,0.6,2,,1.4,3.1,2,
14/01/2012,6.00,0.3,0.5,2,,0.2,2.7,2,
14/01/2012,7.00,Below detection limit,0.5,3,,0.3,2.3,2,
14/01/2012,8.00,Below detection limit,0.5,3,,0.3,1.9,2,
14/01/2012,9.00,Below detection limit,0.5,3,,0.3,1.5,2,
14/01/2012,10.00,Below detection limit,0.5,3,,0.4,1.0,2,
14/01/2012,11.00,Below detection limit,0.4,3,,0.4,0.7,2,
14/01/2012,12.00,Below detection limit,0.4,3,,0.4,0.5,2,
14/01/2012,13.00,Below detection limit,0.3,3,,0.4,0.3,2,
14/01/2012,14.00,Below detection limit,#DIV/0!,3,,0.4,0.3,2,
14/01/2012,15.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
14/01/2012,16.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
14/01/2012,17.00,Below detection limit,#DIV/0!,3,,0.4,0.4,2,
14/01/2012,18.00,Below detection limit,#DIV/0!,3,,0.5,0.4,2,
14/01/2012,19.00,Below detection limit,#DIV/0!,3,,0.5,0.4,2,
14/01/2012,20.00,Below detection limit,#DIV/0!,3,,0.6,0.4,2,
14/01/2012,21.00,Below detection limit,#DIV/0!,3,,0.8,0.5,2,
14/01/2012,22.00,Below detection limit,#DIV/0!,3,,0.7,0.5,2,
14/01/2012,23.00,Below detection limit,#DIV/0!,3,,0.5,0.5,2,
15/01/2012,0.00,Below detection limit,#DIV/0!,3,,0.4,0.5,2,
15/01/2012,1.00,Below detection limit,#DIV/0!,3,,0.4,0.5,2,
15/01/2012,2.00,Below detection limit,#DIV/0!,3,,0.5,0.5,2,
15/01/2012,3.00,Below detection limit,#DIV/0!,3,,0.5,0.5,2,
15/01/2012,4.00,Below detection limit,#DIV/0!,3,,0.4,0.5,2,
15/01/2012,5.00,Below detection limit,#DIV/0!,3,,0.4,0.5,2,
15/01/2012,6.00,Below detection limit,#DIV/0!,3,,0.3,0.4,2,
15/01/2012,7.00,Below detection limit,#DIV/0!,3,,0.5,0.4,2,
15/01/2012,8.00,Below detection limit,#DIV/0!,3,,0.7,0.5,2,
15/01/2012,9.00,Below detection limit,#DIV/0!,3,,0.7,0.5,2,
15/01/2012,10.00,Below detection limit,#DIV/0!,3,,0.6,0.5,2,
15/01/2012,11.00,Below detection limit,#DIV/0!,3,,0.5,0.5,2,
15/01/2012,12.00,Below detection limit,#DIV/0!,3,,0.4,0.5,2,
15/01/2012,13.00,Below detection limit,#DIV/0!,3,,0.4,0.5,2,
15/01/2012,14.00,Below detection limit,#DIV/0!,3,,0.4,0.5,2,
15/01/2012,15.00,Below detection limit,#DIV/0!,3,,0.4,0.5,2,
15/01/2012,16.00,Below detection limit,#DIV/0!,3,,0.4,0.5,2,
15/01/2012,17.00,Below detection limit,#DIV/0!,3,,0.6,0.4,2,
15/01/2012,18.00,Below detection limit,#DIV/0!,3,,0.5,0.4,2,
15/01/2012,19.00,Below detection limit,#DIV/0!,3,,0.7,0.5,2,
15/01/2012,20.00,Below detection limit,#DIV/0!,3,,0.8,0.5,2,
15/01/2012,21.00,Below detection limit,#DIV/0!,3,,0.7,0.6,2,
